imageUrl;title;description;wikipediaLink
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Theo%20de%20Meester.jpg;Theo de Meester;Dutch politician (1851-1919);https://nl.wikipedia.org/wiki/Theo_de_Meester
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Wilhelmus%20Frederik%20van%20Leeuwen.jpg;Wilhelmus Frederik van Leeuwen;Dutch politician (1860-1930);https://nl.wikipedia.org/wiki/Wilhelmus_Frederik_van_Leeuwen
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Willem%20Merkelbach.jpg;Willem Merkelbach;Dutch politician (1837–1911);https://nl.wikipedia.org/wiki/Willem_Merkelbach
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Jan%20Woltjer.jpg;Jan Woltjer;Dutch politician (1849-1917);https://nl.wikipedia.org/wiki/Jan_Woltjer_(classicus)
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Willem%20Dolk.jpg;Willem Dolk;Dutch politician and lawyer;https://nl.wikipedia.org/wiki/Willem_Dolk
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Petrus%20Boele%20Jacobus%20Ferf.jpg;Petrus Boele Jacobus Ferf;Dutch politician (1854-1916);https://nl.wikipedia.org/wiki/Petrus_Boele_Jacobus_Ferf
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Joseph%20Limburg.jpg;Joseph Limburg;Dutch politician and lawyer (1866-1940);https://nl.wikipedia.org/wiki/Joseph_Limburg
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Jan%20van%20der%20Molen.jpg;Jan van der Molen;Dutch teacher and politician (1867–1939);https://nl.wikipedia.org/wiki/Jan_van_der_Molen
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Willem%20Treub.jpg;Willem Treub;Dutch economist, politician and professor (1858–1931);https://nl.wikipedia.org/wiki/Willem_Treub
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Joor%20Bastiaan%20Verheij.jpg;Joor Bastiaan Verheij;Dutch teacher and politician (1851–1913);https://nl.wikipedia.org/wiki/Joor_Bastiaan_Verheij
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Otto%20Jacob%20Eifelanus%20van%20Wassenaer%20van%20Catwijck.jpg;Otto Jacob Eifelanus van Wassenaer van Catwijck;Dutch politician (1856-1939);https://nl.wikipedia.org/wiki/Otto_Jacob_Eifelanus_van_Wassenaer_van_Catwijck
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281905%29%20-%20Willem%20van%20der%20Vlugt.jpg;Willem van der Vlugt;Dutch politician and legal scholar (1853-1928);https://nl.wikipedia.org/wiki/Willem_van_der_Vlugt
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Maurits%20van%20Asch%20van%20Wijck.jpg;Maurits van Asch van Wijck;Dutch politician (1850-1910);https://nl.wikipedia.org/wiki/Maurits_van_Asch_van_Wijck
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Oscar%20Haffmans.jpg;Oscar Haffmans;Dutch politician (1859-1933);https://nl.wikipedia.org/wiki/Oscar_Haffmans_(1859-1933)
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Willem%20Helsdingen.jpg;Willem Helsdingen;Dutch politician (1850-1921);https://nl.wikipedia.org/wiki/Willem_Helsdingen
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Johannes%20Theodoor%20de%20Visser.jpg;Johannes Theodoor de Visser;Dutch politician (1857-1932);https://nl.wikipedia.org/wiki/Johannes_Theodoor_de_Visser
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Willem%20Hubert%20Vliegen.jpg;Willem Hubert Vliegen;Dutch journalist and politician (1862–1947);https://nl.wikipedia.org/wiki/Willem_Vliegen
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Willem%20de%20Vlugt.jpg;Willem de Vlugt;Dutch politician (1872–1945);https://nl.wikipedia.org/wiki/Willem_de_Vlugt
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Petrus%20Johannes%20van%20Beyma.jpg;Petrus Johannes van Beyma;Dutch politician;https://nl.wikipedia.org/wiki/Petrus_Johannes_van_Beyma
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Willem%20Henricus%20Jacobus%20Theodorus%20van%20Basten%20Batenburg.jpg;Willem Henricus Jacobus Theodorus van Basten Batenburg;Dutch politician (1862-1936);https://nl.wikipedia.org/wiki/Willem_Henricus_Jacobus_Theodorus_van_Basten_Batenburg
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Willem%20Hovy.jpg;Willem Hovy;Dutch politician and brewer;https://nl.wikipedia.org/wiki/Willem_Hovy
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Pieter%20Cornelis%20%27t%20Hooft.jpg;Pieter Cornelis 't Hooft;Dutch politician (1849-1921);https://nl.wikipedia.org/wiki/Pieter_Cornelis_%27t_Hooft
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Willem%20Theodoor%20Cornelis%20van%20Doorn.jpg;Willem Theodoor Cornelis van Doorn;Dutch politician;https://nl.wikipedia.org/wiki/Willem_Theodoor_Cornelis_van_Doorn
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Joannes%20Coenraad%20Jansen.jpg;Joannes Coenraad Jansen;politician (1840-1925);https://nl.wikipedia.org/wiki/Joannes_Coenraad_Jansen
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Rudolf%20Patijn.jpg;Rudolf Patijn;Dutch lawyer and politician (1863–1956);https://nl.wikipedia.org/wiki/Rudolf_Patijn
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Victor%20de%20Stuers.jpg;Victor de Stuers;Dutch politician (1843-1916);https://nl.wikipedia.org/wiki/Victor_de_Stuers
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Meinard%20Tydeman.jpg;Meinard Tydeman;Dutch politician (1854-1916);https://nl.wikipedia.org/wiki/Meinard_Tydeman_(1854-1916)
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Antonie%20Roodhuyzen%20%28cropped%29.jpg;Antonie Roodhuyzen;Dutch teacher and politician;https://nl.wikipedia.org/wiki/Antonie_Roodhuyzen
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Pieter%20Johannes%20de%20Kanter.jpg;Pieter Johannes de Kanter;Dutch politician (1868-1953);https://nl.wikipedia.org/wiki/Pieter_Johannes_de_Kanter
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20W.C.J.%20Passtoors.jpg;Willem Caspar Joseph Passtoors;Dutch politician (1856-1916);https://nl.wikipedia.org/wiki/Willem_Passtoors_(1856-1916)
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Schelto%20van%20Heemstra.jpg;Schelto van Heemstra;Dutch politician (1842-1911);https://nl.wikipedia.org/wiki/Schelto_van_Heemstra_(1842-1911)
