Date;Full institution name;Commons category;Commons category URL;Category depth;Total images available;Distinct images used;Image reuse percentage;Distinct articles;Number of languages;Total usages;Average image reuse;HTML URL;Excel URL
04-09-2024;Zeeuws Archief;Zeeuws Archief;https://commons.wikimedia.org/wiki/Category:Zeeuws_Archief;2;334;44;13,17;71;20;85;1,93;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ZeeuwsArchief_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ZeeuwsArchief_Wikipedia_NS0_04092024.xlsx
04-09-2024;Erfgoedcentrum Rozet;Media from Erfgoedcentrum Rozet;https://commons.wikimedia.org/wiki/Category:Media_from_Erfgoedcentrum_Rozet;0;152;38;25,00;64;18;68;1,79;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/MediafromErfgoedcentrumRozet_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/MediafromErfgoedcentrumRozet_Wikipedia_NS0_04092024.xlsx
04-09-2024;Nederlands Scheepvaartmuseum;Collections of the Nederlands Scheepvaartmuseum;https://commons.wikimedia.org/wiki/Category:Collections_of_the_Nederlands_Scheepvaartmuseum;3;415;14;3,37;63;26;65;4,64;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/CollectionsoftheNederlandsScheepvaartmuseum_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/CollectionsoftheNederlandsScheepvaartmuseum_Wikipedia_NS0_04092024.xlsx
04-09-2024;Regionaal Archief Alkmaar;Media from Regionaal Archief Alkmaar;https://commons.wikimedia.org/wiki/Category:Media_from_Regionaal_Archief_Alkmaar;1;20.999;75;0,36;62;11;95;1,27;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/MediafromRegionaalArchiefAlkmaar_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/MediafromRegionaalArchiefAlkmaar_Wikipedia_NS0_04092024.xlsx
04-09-2024;Museum Rotterdam;Historisch Museum Rotterdam;https://commons.wikimedia.org/wiki/Category:Historisch_Museum_Rotterdam;2;215;31;14,42;60;19;70;2,26;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/HistorischMuseumRotterdam_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/HistorischMuseumRotterdam_Wikipedia_NS0_04092024.xlsx
04-09-2024;Airborne Museum Hartenstein;Airborne Museum Hartenstein;https://commons.wikimedia.org/wiki/Category:Airborne_Museum_Hartenstein;1;260;15;5,77;59;27;77;5,13;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/AirborneMuseumHartenstein_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/AirborneMuseumHartenstein_Wikipedia_NS0_04092024.xlsx
04-09-2024;Universiteitsbibliotheek TU Delft;Bibliotheek, TU Delft;https://commons.wikimedia.org/wiki/Category:Bibliotheek,_TU_Delft;0;42;20;47,62;57;30;78;3,90;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/Bibliotheek,TUDelft_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/Bibliotheek,TUDelft_Wikipedia_NS0_04092024.xlsx
04-09-2024;Stadsarchief Delft;Stadsarchief Delft;https://commons.wikimedia.org/wiki/Category:Stadsarchief_Delft;3;482;57;11,83;56;11;83;1,46;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/StadsarchiefDelft_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/StadsarchiefDelft_Wikipedia_NS0_04092024.xlsx
04-09-2024;Biblioteca Nacional Aruba;Media contributed by Biblioteca Nacional Aruba;https://commons.wikimedia.org/wiki/Category:Media_contributed_by_Biblioteca_Nacional_Aruba;1;605;28;4,63;46;10;51;1,82;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/MediacontributedbyBibliotecaNacionalAruba_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/MediacontributedbyBibliotecaNacionalAruba_Wikipedia_NS0_04092024.xlsx
04-09-2024;Drents Archief;Images from Drents Archief;https://commons.wikimedia.org/wiki/Category:Images_from_Drents_Archief;0;104;28;26,92;42;7;44;1,57;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ImagesfromDrentsArchief_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ImagesfromDrentsArchief_Wikipedia_NS0_04092024.xlsx
04-09-2024;Hollandsche Schouwburg;Hollandsche Schouwburg;https://commons.wikimedia.org/wiki/Category:Hollandsche_Schouwburg;0;80;17;21,25;42;13;52;3,06;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/HollandscheSchouwburg_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/HollandscheSchouwburg_Wikipedia_NS0_04092024.xlsx
04-09-2024;Kasteel Duivenvoorde;Kasteel Duivenvoorde;https://commons.wikimedia.org/wiki/Category:Kasteel_Duivenvoorde;0;268;29;10,82;35;14;66;2,28;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/KasteelDuivenvoorde_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/KasteelDuivenvoorde_Wikipedia_NS0_04092024.xlsx
04-09-2024;Rijksmonumenten Delft;Rijksmonumenten in Delft;https://commons.wikimedia.org/wiki/Category:Rijksmonumenten_in_Delft;1;5.004;73;1,46;32;6;102;1,40;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/RijksmonumenteninDelft_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/RijksmonumenteninDelft_Wikipedia_NS0_04092024.xlsx
04-09-2024;Meertens Instituut;Meertens Instituut;https://commons.wikimedia.org/wiki/Category:Meertens_Instituut;0;30;18;60,00;29;8;36;2,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/MeertensInstituut_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/MeertensInstituut_Wikipedia_NS0_04092024.xlsx
